Date,Amount,Payee,Description
17 Jun 2025,-268.00,,APPLE.COM/BILL 85221120099 IE 
20 Jun 2025,-238.00,,APPLE.COM/BILL ITUNES.COM IE 
21 Jun 2025,-28.06,,UBER* TRIP CHRISTCHURCH NZ NZD 5.83
21 Jun 2025,-28.00,,APPLE.COM/BILL ITUNES.COM IE 
21 Jun 2025,-448.00,,Adobe ADOBE.COM IE 
23 Apr 2025,-38.00,,APPLE.COM/BILL ITUNES.COM IE 
24 Apr 2025,-448.00,,ADOBE SOFTWARE 85230714922 IE 
24 Apr 2025,-108.00,,Spotify P3623FF7D3 Stockholm SE 
24 Apr 2025,-438.46,,SERENITY RESEARCH (SG) SINGAPORE SG EUR 48.00
25 Apr 2025,-241.66,,AlipayHK*Taobao.com Hong Kong HK 
25 Apr 2025,-284.95,,AlipayHK*Taobao.com Hong Kong HK 
28 Apr 2025,-79.00,,GOOGLE*GOOGLE ONE G.CO/HELPPAY#HK 
29 Apr 2025,-814.81,,aliexpress Singapore SG USD 103.00
02 May 2025,-973.00,,TALENOX SINGAPORE SG 
02 May 2025,-63.72,,SWYTCH LONDON GB GBP 6.00
03 May 2025,-2386.79,,MINDBODY INC. SAN LUIS OBISUS USD 299.00
03 May 2025,-3.96,,Amazon web services aws.amazon.coUS USD 0.50
06 May 2025,-577.37,,XERO GLOBAL IN-5794045 WELLINGTION US USD 73.00
06 May 2025,-261.00,,Quote Stock Sell (NZ) Auckland NZ USD 33.00
06 May 2025,-68.00,,APPLE.COM/BILL 85221120099 IE 
07 May 2025,-8.00,,APPLE.COM/BILL CORK IE 
07 May 2025,-1747.92,,SMARTONE AUTOPAY KWUN TONG HK 
08 May 2025,-364.41,,SPARK PAY MONTHLY (3) AUCKLAND NZ NZD 76.88
09 May 2025,-2425.38,,Mailchimp Atlanta US USD 306.50
10 May 2025,-361.12,,MICROSOFT#G090785244 MSBILL.INFO SG USD 45.55
12 May 2025,CR,,PAYMENT - THANK YOU  21047.34
12 May 2025,-785.16,,MINDBODY INC. SAN LUISPO US USD 99.00
12 May 2025,-78.00,,APPLE.COM/BILL ITUNES.COM IE 
16 May 2025,-598.00,,PCCW (NETVIGATOR/NOW T HONG KONG HK 
16 May 2025,-898.33,,A/C ANNUAL FEE 
17 May 2025,-268.00,,APPLE.COM/BILL 85221120099 IE 
20 May 2025,-1020.00,,Microsoft*Microsoft 36 msbill.info HK 
20 May 2025,-238.00,,APPLE.COM/BILL ITUNES.COM IE 
20 May 2025,-28.00,,APPLE.COM/BILL CORK IE 
21 May 2025,-448.00,,Adobe ADOBE.COM IE 
22 May 2025,-239.48,,CLOUDFLARE SAN FRANCISCOUS USD 30.00
22 May 2025,-2386.79,,MINDBODY INC. SAN LUIS OBISUS USD 299.00
23 May 2025,-38.00,,APPLE.COM/BILL ITUNES.COM IE 
24 May 2025,-28.00,,APPLE.COM/BILL 85221120099 IE 
24 May 2025,-435.61,,SERENITY RESEARCH (SG) SINGAPORE SG EUR 48.00
24 May 2025,-108.00,,Spotify P371188C65 Stockholm SE 
27 May 2025,-79.00,,GOOGLE*GOOGLE ONE G.CO/HELPPAY#HK 
02 Jun 2025,-175.41,,UBER *TRIP HELP.UBER.C Islands HK 
02 Jun 2025,-1043.00,,TALENOX SINGAPORE SG 
02 Jun 2025,-64.86,,SWYTCH LONDON GB GBP 6.00
02 Jun 2025,-158.92,,Amazon web services aws.amazon.coUS USD 19.87
03 Jun 2025,-2277.84,,SMARTONE AUTOPAY KWUN TONG HK 
03 Jun 2025,-4.00,,Amazon web services aws.amazon.coUS USD 0.50
04 Jun 2025,-368.80,,SPARK PAY MONTHLY (3) AUCKLAND NZ NZD 76.65
05 Jun 2025,-78.00,,APPLE.COM/BILL ITUNES.COM IE 
05 Jun 2025,-68.00,,APPLE.COM/BILL 85221120099 IE 
05 Jun 2025,-263.94,,Quote Stock Sell (NZ) Auckland NZ USD 33.00
06 Jun 2025,-584.07,,XERO GLOBAL IN-5861807 WELLINGTION US USD 73.00
06 Jun 2025,-59.52,,UBER *TRIP HELP.UBER.C Islands HK 
06 Jun 2025,-8.00,,APPLE.COM/BILL 85221120099 IE 
07 Jun 2025,-62.07,,UBER *TRIP HELP.UBER.C Islands HK 
09 Jun 2025,-2452.32,,Mailchimp Atlanta US USD 306.50
10 Jun 2025,-376.45,,MICROSOFT#G096446757 MSBILL.INFO SG USD 47.05
10 Jun 2025,-288.00,,APPLE.COM/BILL ITUNES.COM IE 
10 Jun 2025,CR,,PAYMENT - THANK YOU  18490.36
11 Jun 2025,-792.22,,GR DIGITAL BETHESDA US USD 99.00
11 Jun 2025,-59.31,,UBER *TRIP HELP.UBER.C Islands HK 
11 Jun 2025,-78.00,,APPLE.COM/BILL ITUNES.COM IE 
12 Jun 2025,-64.16,,UBER *TRIP HELP.UBER.C Islands HK 
13 Jun 2025,-64.62,,UBER *TRIP HELP.UBER.C Islands HK 
13 Jun 2025,-97.46,,UBER *TRIP HELP.UBER.C Islands HK 
14 Jun 2025,-66.91,,UBER *TRIP HELP.UBER.C Islands HK 
16 Jun 2025,-47.86,,TWILIO SENDGRID SAN FRANCISCOUS USD 5.98
